50 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.0001907579999999992,0.0001963890000009627,0.0001959080000020208
insertionSort,8.863499999999663e-05,0.0002592809999999446,0.0001749480000015069
mergeSort,0.00013198199999999577,0.00012936100000082718,0.0001612339999965684
quickSort,0.00010510500000000117,0.00021609000000033518,7.587700000044606e-05
selectionSort,0.00015379399999999877,0.0001782999999999646,0.00014876999999557938

100 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.00044040299999999893,0.0004565559999996083,0.00044258900000215817
insertionSort,0.000151140000000001,0.001037724000001461,0.0005998379999994086
mergeSort,0.00027315499999999715,0.00025769700000033424,0.00034205000000042673
quickSort,0.00023045099999999957,0.0012207079999999593,0.00015803200000163997
selectionSort,0.000500545000000005,0.0005157619999991425,0.0005291609999957814

500 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.0030188780000000026,0.003142154999999036,0.0030524760000005813
insertionSort,0.007546653000000007,0.024866656999998682,0.013305334000001778
mergeSort,0.0017873600000000017,0.001507840000000371,0.0021906610000002047
quickSort,0.0014471139999999993,0.0170123990000004,0.0009819799999988277
selectionSort,0.01397305,0.011463571000000172,0.010738989000003585

1000 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.0064154700000000064,0.00700476499999958,0.006818395999999893
insertionSort,0.010289428000000003,0.10172295199999937,0.05063511400000209
mergeSort,0.003438195000000005,0.003183921999999839,0.004743294000000731
quickSort,0.003250525000000004,0.0667077410000001,0.0021098160000008193
selectionSort,0.041486928000000006,0.045373551000000845,0.04498097900000175

2000 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.014985723000000006,0.01590648200000011,0.015218882999995742
insertionSort,0.20658236600000002,0.40062389999999937,0.2073132820000012
mergeSort,0.0071885599999998995,0.006872759000000173,0.010425292000000752
quickSort,0.006665589999999999,0.2667035680000005,0.00457816499999808
selectionSort,0.163845458,0.17722820500000047,0.17759821699999634

3000 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.023595856999999887,0.02542198899999981,0.024504620999998394
insertionSort,0.365143902,0.8972054899999993,0.42969439899999884
mergeSort,0.011937421000000059,0.01135866099999916,0.017169666000000916
quickSort,0.01067032999999995,0.6133724859999994,0.0069199230000052125
selectionSort,0.3658085769999999,0.38940468700000075,0.3818767649999941

4000 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.032463274000000375,0.034653821999999224,0.03468144300000375
insertionSort,0.5393529189999999,1.6145681749999987,0.8086478449999959
mergeSort,0.016694251999999743,0.015515900000000471,0.024105038999998385
quickSort,0.014379669999999845,1.058573127999999,0.009433766000000787
selectionSort,0.648243116,0.695935764999998,0.6898647209999993

5000 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.042320995999999944,0.04454268699999986,0.042673993999997606
insertionSort,0.6386461029999997,2.5100681079999987,1.2326075960000011
mergeSort,0.022568340000000298,0.021239596000000915,0.03262971699999895
quickSort,0.01851022499999999,1.6751901490000023,0.011547145000001535
selectionSort,1.0246267539999998,1.0865099610000009,1.0956994300000034

7500 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.06385493799999953,0.07023154099999829,0.06806637799999748
insertionSort,0.8247896539999999,5.615318541999997,2.7837284869999976
mergeSort,0.03786933399999981,0.03684130599999946,0.05324423499999398
quickSort,0.028437845000000017,3.8367357240000004,0.018501924000005943
selectionSort,2.281551724,2.4044095389999995,2.440823225999999

10000 Elementos,SetPeorCasoAscendente.txt,SetPeorCasoDescendente.txt,SetPeorCasoMergesort.txt
heapSort,0.08850803700000043,0.09332257999999882,0.09097488000000453
insertionSort,0.9396950560000006,8.902868106,4.929548691000008
mergeSort,0.054982787000000144,0.05593248199999579,0.07747909699999411
quickSort,0.039325559000001675,5.785263035,0.02463166599999056
selectionSort,4.084254678000001,4.201783121999995,4.480063653000002

